https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1642989600000,2022-01-24 02:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,0,0,0,0,0,0
1642986000000,2022-01-24 01:00:00,AXS/USDT,53.74891966,53.74891966,53.74891966,53.74891966,1.97410268,0.03672823,0,0,0,0
1642982400000,2022-01-24 00:00:00,AXS/USDT,53.93418483,54.31953968,53.74891966,53.74891966,5.89538951,0.10968387,0,0,0,0
1642978800000,2022-01-23 23:00:00,AXS/USDT,53.21247225,54.31953968,53.21247225,54.31953968,12.2486731,0.22885487,0,0,0,0
1642975200000,2022-01-23 22:00:00,AXS/USDT,50.58772469,50.58772469,50.58772469,50.58772469,65.45271107,1.29384572,0,0,0,0
1642971600000,2022-01-23 21:00:00,AXS/USDT,50.57357586,50.57415332,50.57357586,50.57415332,0,0,0,0,0,0
1642968000000,2022-01-23 20:00:00,AXS/USDT,50.57357586,50.57415332,50.57357586,50.57415332,1088.19427248,21.51680736,0,0,0,0
1642964400000,2022-01-23 19:00:00,AXS/USDT,50.8,50.8,50.57415332,50.57415332,11.89066935,0.23441113,0,0,0,0
1642960800000,2022-01-23 18:00:00,AXS/USDT,52.5,52.5,52.5,52.5,0,0,0,0,0,0
1642957200000,2022-01-23 17:00:00,AXS/USDT,53.32409342,53.32409342,52.2168805,52.5,105,2,0,0,0,0
1642953600000,2022-01-23 16:00:00,AXS/USDT,53.32409342,53.32409342,52.2168805,52.2168805,0,0,0,0,0,0
1642950000000,2022-01-23 15:00:00,AXS/USDT,53.32409342,53.32409342,52.2168805,52.2168805,0,0,0,0,0,0
1642946400000,2022-01-23 14:00:00,AXS/USDT,53.32409342,53.32409342,52.2168805,52.2168805,146.50287451,2.7895501,0,0,0,0
1642942800000,2022-01-23 13:00:00,AXS/USDT,53.5923569,53.5923569,53.5923569,53.5923569,0,0,0,0,0,0
