https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1578268800000,2020-01-06 00:00:00,LSK/USDT,0.58016775,0.59395717,0.57339506,0.59395717,2266.90288503,3896.02405156,0,0,0,0.58185033
1578182400000,2020-01-05 00:00:00,LSK/USDT,0.56499603,0.58915651,0.56155425,0.5699989,1437.60964846,2484.41754086,0,0,0,0.57865057
1578096000000,2020-01-04 00:00:00,LSK/USDT,0.5571071,0.56501015,0.54915649,0.56217661,743.16098869,1349.82427264,0,0,0,0.55056128
1578009600000,2020-01-03 00:00:00,LSK/USDT,0.55198796,0.56389974,0.51836099,0.54541925,344.67445774,631.84582754,0,0,0,0.54550404
1577923200000,2020-01-02 00:00:00,LSK/USDT,0.54764556,0.54764556,0.51838038,0.51838038,872.04563447,1625.98761093,0,0,0,0.53631751
1577836800000,2020-01-01 00:00:00,LSK/USDT,0.5500849,0.56758407,0.54484055,0.56758407,550.76447422,1004.26586691,0,0,0,0.54842496
1577750400000,2019-12-31 00:00:00,LSK/USDT,0.57077019,0.57929894,0.5498899,0.5498899,599.83936023,1069.87648653,0,0,0,0.56066225
1577664000000,2019-12-30 00:00:00,LSK/USDT,0.55426722,0.5868899,0.55426722,0.57077019,594.43891825,1028.56105393,0,0,0,0.57793255
1577577600000,2019-12-29 00:00:00,LSK/USDT,0.56006042,0.58092279,0.55256659,0.56983912,89.74366722,158.71703282,0,0,0,0.56543186
1577491200000,2019-12-28 00:00:00,LSK/USDT,0.58349988,0.59,0.54989,0.54989,1575.18869295,2774.70360727,0,0,0,0.56769619
1577404800000,2019-12-27 00:00:00,LSK/USDT,0.55860512,0.58349988,0.55860512,0.56657354,266.65856694,469.84489998,0,0,0,0.56754594
1577318400000,2019-12-26 00:00:00,LSK/USDT,0.5498899,0.59763783,0.5498899,0.54989088,1948.08129842,3440.09644745,0,0,0,0.56628682
1577232000000,2019-12-25 00:00:00,LSK/USDT,0.54998899,0.57247641,0.5498899,0.5498899,266.79721939,477.53073729,0,0,0,0.55870166
1577145600000,2019-12-24 00:00:00,LSK/USDT,0.58095605,0.59929893,0.54998899,0.54998899,318.81708859,559.4262035,0,0,0,0.56990017
1577059200000,2019-12-23 00:00:00,LSK/USDT,0.54499888,0.58172695,0.51599864,0.56360396,1392.13928761,2489.09566246,0,0,0,0.55929521
1576972800000,2019-12-22 00:00:00,LSK/USDT,0.51099888,0.52999888,0.48005064,0.52999888,344.91926454,661.39079311,0,0,0,0.52150599
1576886400000,2019-12-21 00:00:00,LSK/USDT,0.55500299,0.55500307,0.4704,0.55498999,2465.54231302,4795.799,0,0,0,0.51410459
1576800000000,2019-12-20 00:00:00,LSK/USDT,0.46786972,0.55535382,0.46786971,0.55500309,829.88864389,1600.05884989,0,0,0,0.51866132
